hex nr.;sector name;VP;economy;;technology;;materials;;choice;discovery;ancients;artifact;wormholes
101;Castor;2;1;0;0;0;1;1;0;1;1;0;5
102;Pollux;3;0;0;1;1;0;0;0;0;0;1;4
103;Beta Leonis;2;0;1;0;0;0;0;1;0;0;0;5
104;Arcturus;2;1;1;1;1;0;0;0;1;2;0;4
105;Zeta Herculus;3;1;0;1;0;0;1;0;1;1;1;5
106;Capella;2;0;0;1;0;1;0;0;0;0;0;4
107;Aldebaran;2;1;0;0;1;0;1;0;0;0;0;5
108;Mu Cassiopeiae;2;0;1;1;0;0;0;1;1;1;0;4
201;Alpha Centauri;1;1;0;0;0;1;0;0;0;0;0;3
202;Fomalhaut;1;0;0;1;1;0;0;0;0;0;0;3
203;Chi Draconis;1;1;0;1;0;1;0;0;1;2;0;4
204;Vega;2;0;1;0;0;0;1;1;1;1;1;4
205;Mu Herculis;1;1;1;0;1;0;0;0;0;0;0;3
206;Epsilon Indi;1;0;0;0;0;1;0;0;1;0;0;4
207;Zeta Reticuli;1;0;0;0;0;0;0;0;1;0;0;3
208;Iota Persei;1;0;0;0;0;0;0;0;1;0;0;4
209;Delta Eridan;1;0;1;1;0;0;0;0;0;0;0;4
210;Psi Capricorni;1;1;0;0;0;1;0;0;0;0;0;3
211;Beta Aquilae;2;1;0;0;0;0;1;1;1;1;1;4
301;Zeta Draconis;2;1;0;1;0;0;1;0;1;2;1;3
302;Gamma Serpentis;2;0;1;0;0;1;0;0;1;1;1;3
303;Eta Cephei;2;0;0;0;0;0;0;1;1;1;1;2
304;Theta Pegasi;1;0;1;0;0;1;0;0;0;0;0;2
305;Lambda Serpentis;1;0;0;1;0;1;0;0;1;1;0;3
306;Beta Centauri;1;1;0;0;0;1;0;0;0;0;0;2
307;Sigma Sagitarii;1;1;0;0;1;0;0;0;0;0;0;3
308;Kappa Scorpii;1;0;0;1;0;0;1;0;0;0;0;3
309;Phi Piscium;1;1;0;0;1;0;0;0;0;0;0;3
310;Nu Phoenicis;1;0;0;1;0;1;0;0;0;0;0;2
311;Canophis;1;0;0;0;0;1;0;0;1;0;0;3
312;Antares;1;0;0;0;0;1;0;0;1;0;0;3
313;Alpha Ursae Minoris;1;0;0;0;0;0;0;1;1;0;0;2
314;Spica;1;0;0;0;0;0;0;1;1;0;0;4
315;Epsilon Aurigae;1;0;0;0;0;0;0;0;1;0;0;3
316;Iota Carinae;1;0;0;0;0;0;0;0;1;0;0;3
317;Beta Crucis;1;1;1;0;0;0;0;0;0;0;0;2
318;Gamma Velorum;1;0;0;0;0;0;1;1;0;0;0;2
001;Galactic Center;0;0;0;1;1;1;1;2;1;-1;1;6
221;Procyon / T. Directorate;3;1;1;1;1;1;0;0;0;0;1;4
223;Altair / T. Federation;3;1;1;1;1;1;0;0;0;0;1;4
225;Eta Cassiopeiae / T. Union;3;1;1;1;1;1;0;0;0;0;1;4
227;Sirius / T. Republic;3;1;1;1;1;1;0;0;0;0;1;4
229;Tau Ceti / T. Conglomerate;3;1;1;1;1;1;0;0;0;0;1;4
231;Delta Pavonis / T. Alliance;3;1;1;1;1;1;0;0;0;0;1;4
222;Epsilon Eridani / Eridians;3;1;1;1;1;0;0;0;0;0;1;4
224;Beta Hydri / Hydrans;3;1;0;1;1;0;1;0;0;0;1;4
226;Si Cygni / Planta;3;1;0;1;0;1;0;0;0;0;1;4
228;Sigma Draconis / Draco;3;1;0;1;0;0;1;0;0;0;1;4
230;Lambda Aurigae / Mechanema;3;1;1;1;0;0;1;0;0;0;1;4
232;Rigel / Orion Hegemony;3;0;1;1;0;1;1;0;0;0;1;4
